fileId,fileUrls from query AERDT_L2_VIIRS_SNPP--5200 2024-01-01..2024-08-15 x-88y42 x-87.5y41.5[5],size
7967088802,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/033/AERDT_L2_VIIRS_SNPP.A2024033.1718.002.2024034054407.nc,7135894
7970281156,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/034/AERDT_L2_VIIRS_SNPP.A2024034.1836.002.2024035225509.nc,11553622
7971027557,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/035/AERDT_L2_VIIRS_SNPP.A2024035.2000.002.2024036082514.nc,9093858
7974283434,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/037/AERDT_L2_VIIRS_SNPP.A2024037.1742.002.2024038061229.nc,9011629
7970928319,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/035/AERDT_L2_VIIRS_SNPP.A2024035.1818.002.2024036071519.nc,9972478
7972686580,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/036/AERDT_L2_VIIRS_SNPP.A2024036.1800.002.2024037072545.nc,9557237
7972733903,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/036/AERDT_L2_VIIRS_SNPP.A2024036.1942.002.2024037080552.nc,9514131
7974442143,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/037/AERDT_L2_VIIRS_SNPP.A2024037.1924.002.2024038081211.nc,7900915
7976423007,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/038/AERDT_L2_VIIRS_SNPP.A2024038.1724.002.2024039060106.nc,8108836
7994119103,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/044/AERDT_L2_VIIRS_SNPP.A2024044.1848.002.2024045072615.nc,12331167
7976546948,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/038/AERDT_L2_VIIRS_SNPP.A2024038.1900.002.2024039073105.nc,12822209
7976546939,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/038/AERDT_L2_VIIRS_SNPP.A2024038.1906.002.2024039073107.nc,7164885
7978447029,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/039/AERDT_L2_VIIRS_SNPP.A2024039.1706.002.2024040053225.nc,8092625
7978663278,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/039/AERDT_L2_VIIRS_SNPP.A2024039.1842.002.2024040074237.nc,10964164
7978663286,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/039/AERDT_L2_VIIRS_SNPP.A2024039.1848.002.2024040074236.nc,7141874
7987643492,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/042/AERDT_L2_VIIRS_SNPP.A2024042.1930.002.2024043075441.nc,8734998
7981670107,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/040/AERDT_L2_VIIRS_SNPP.A2024040.1824.002.2024041073329.nc,9238263
7984390382,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/041/AERDT_L2_VIIRS_SNPP.A2024041.1806.002.2024042073359.nc,8299946
7984451046,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/041/AERDT_L2_VIIRS_SNPP.A2024041.1948.002.2024042081401.nc,8126075
7987479685,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/042/AERDT_L2_VIIRS_SNPP.A2024042.1748.002.2024043061440.nc,7893995
7990654059,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/043/AERDT_L2_VIIRS_SNPP.A2024043.1730.002.2024044055517.nc,8462717
7990831005,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/043/AERDT_L2_VIIRS_SNPP.A2024043.1906.002.2024044073525.nc,11742358
7990831003,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/043/AERDT_L2_VIIRS_SNPP.A2024043.1912.002.2024044073527.nc,8399608
7994119107,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/044/AERDT_L2_VIIRS_SNPP.A2024044.1854.002.2024045072616.nc,7349357
7997504319,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/045/AERDT_L2_VIIRS_SNPP.A2024045.1654.002.2024046051640.nc,7295993
7993931139,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/044/AERDT_L2_VIIRS_SNPP.A2024044.1712.002.2024045053613.nc,7560998
7997814802,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/045/AERDT_L2_VIIRS_SNPP.A2024045.1830.002.2024046072659.nc,12860367
8001331951,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/046/AERDT_L2_VIIRS_SNPP.A2024046.1812.002.2024047072726.nc,10796861
8001419120,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/046/AERDT_L2_VIIRS_SNPP.A2024046.1954.002.2024047081731.nc,9923181
8005081891,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/047/AERDT_L2_VIIRS_SNPP.A2024047.1754.002.2024048061810.nc,7696953
8005312644,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/047/AERDT_L2_VIIRS_SNPP.A2024047.1936.002.2024048075813.nc,7719379
8012528653,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/049/AERDT_L2_VIIRS_SNPP.A2024049.1854.002.2024050072938.nc,11284748
8008925557,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/048/AERDT_L2_VIIRS_SNPP.A2024048.1736.002.2024049055845.nc,7397933
8009101791,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/048/AERDT_L2_VIIRS_SNPP.A2024048.1918.002.2024049073853.nc,7924712
8012528510,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/049/AERDT_L2_VIIRS_SNPP.A2024049.1900.002.2024050072936.nc,7539285
8019667363,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/051/AERDT_L2_VIIRS_SNPP.A2024051.1818.002.2024052073101.nc,12612144
8012311509,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/049/AERDT_L2_VIIRS_SNPP.A2024049.1718.002.2024050053920.nc,7519231
8018392226,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/050/AERDT_L2_VIIRS_SNPP.A2024050.1700.002.2024051132144.nc,7264901
8018417111,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/050/AERDT_L2_VIIRS_SNPP.A2024050.1836.002.2024051133050.nc,12900267
8019740336,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/051/AERDT_L2_VIIRS_SNPP.A2024051.2000.002.2024052082056.nc,10887972
8026514635,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/053/AERDT_L2_VIIRS_SNPP.A2024053.1924.002.2024054075442.nc,9615344
8022962802,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2024/052/AERDT_L2_VIIRS_SNPP.A2024052.1800.002.2024053074009.nc,9819039
