fileId,fileUrls from query AERDT_L2_VIIRS_SNPP--5200 2023-05-01..2024-08-14 x-88.9y42.6 x-86.9y41.1[5],size
7787722385,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/140/AERDT_L2_VIIRS_SNPP.A2023140.1936.002.2023214063347.nc,14138874
7787714256,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/141/AERDT_L2_VIIRS_SNPP.A2023141.1736.002.2023214063209.nc,11219886
7787722399,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/141/AERDT_L2_VIIRS_SNPP.A2023141.1918.002.2023214063414.nc,14218562
7787714383,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/142/AERDT_L2_VIIRS_SNPP.A2023142.0730.002.2023214063202.nc,8100258
7787715616,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/142/AERDT_L2_VIIRS_SNPP.A2023142.1718.002.2023214063227.nc,12598861
7787717527,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/142/AERDT_L2_VIIRS_SNPP.A2023142.1900.002.2023214063236.nc,13920684
7787717528,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/143/AERDT_L2_VIIRS_SNPP.A2023143.1700.002.2023214063230.nc,11570540
7787722486,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/143/AERDT_L2_VIIRS_SNPP.A2023143.1836.002.2023214063406.nc,12245592
7787718011,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/143/AERDT_L2_VIIRS_SNPP.A2023143.1842.002.2023214063244.nc,11680669
7787721230,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/144/AERDT_L2_VIIRS_SNPP.A2023144.1642.002.2023214063302.nc,9831171
7787717355,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/144/AERDT_L2_VIIRS_SNPP.A2023144.1818.002.2023214063233.nc,12109013
7787714590,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/144/AERDT_L2_VIIRS_SNPP.A2023144.1824.002.2023214063211.nc,10171262
7787718036,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/144/AERDT_L2_VIIRS_SNPP.A2023144.2000.002.2023214063253.nc,12033413
7787718046,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/145/AERDT_L2_VIIRS_SNPP.A2023145.1800.002.2023214063250.nc,12989659
7787721320,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/145/AERDT_L2_VIIRS_SNPP.A2023145.1942.002.2023214063323.nc,12914383
7787718063,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/146/AERDT_L2_VIIRS_SNPP.A2023146.1742.002.2023214063239.nc,11965841
7787715669,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/146/AERDT_L2_VIIRS_SNPP.A2023146.1924.002.2023214063229.nc,12486323
7787723166,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/147/AERDT_L2_VIIRS_SNPP.A2023147.0736.002.2023214063354.nc,7785896
7787715881,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/147/AERDT_L2_VIIRS_SNPP.A2023147.0918.002.2023214063235.nc,8125621
7787723174,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/147/AERDT_L2_VIIRS_SNPP.A2023147.1724.002.2023214063432.nc,12945965
7787723173,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/147/AERDT_L2_VIIRS_SNPP.A2023147.1906.002.2023214063334.nc,12607839
7787721566,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/148/AERDT_L2_VIIRS_SNPP.A2023148.1706.002.2023214063301.nc,12324944
7787723207,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/148/AERDT_L2_VIIRS_SNPP.A2023148.1842.002.2023214063437.nc,11954980
7787723479,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/148/AERDT_L2_VIIRS_SNPP.A2023148.1848.002.2023214063412.nc,13160165
7787723710,/archive/allData/5200/AERDT_L2_VIIRS_SNPP/2023/149/AERDT_L2_VIIRS_SNPP.A2023149.1648.002.2023214063438.nc,12110908
